id,name,state,region_type,budget_level,best_months,crowd_level,adventure_score,nature_score,luxury_score,nightlife_score,culture_score,food_scene_score,family_friendly_score,description,text_for_embedding
12,Chopta,Uttarakhand,mountains,low,"April,May,September,October,November",low,9,10,1,1,5,3,4,"Known as the 'mini Switzerland of India,' a small meadow-side base for the Tungnath and Chandrashila treks, offering high-altitude views with minimal infrastructure and very few crowds.","Chopta, mountains destination in Uttarakhand. Known as the 'mini Switzerland of India,' a small meadow-side base for the Tungnath and Chandrashila treks, offering high-altitude views with minimal infrastructure and very few crowds. Budget level: low. Crowd level: low."
13,Bir-Billing,Himachal Pradesh,mountains,low,"March,April,May,September,October,November",low,9,8,2,2,4,5,5,"India's paragliding capital, a Tibetan settlement town surrounded by pine forests, popular with adventure travelers for paragliding and short monastery-hopping walks.","Bir-Billing, mountains destination in Himachal Pradesh. India's paragliding capital, a Tibetan settlement town surrounded by pine forests, popular with adventure travelers for paragliding and short monastery-hopping walks. Budget level: low. Crowd level: low."
14,Sandakphu,West Bengal,mountains,low,"April,May,October,November",low,9,10,1,1,4,3,3,"The highest point in West Bengal, reached via a multi-day trek offering views of four of the world's five highest peaks including Everest and Kanchenjunga -- for serious trekkers seeking remote high-altitude views.","Sandakphu, mountains destination in West Bengal. The highest point in West Bengal, reached via a multi-day trek offering views of four of the world's five highest peaks including Everest and Kanchenjunga -- for serious trekkers seeking remote high-altitude views. Budget level: low. Crowd level: low."
15,Mawlynnong,Meghalaya,forest,low,"October,November,December,January,February,March",low,4,10,2,1,7,4,7,"Known as one of Asia's cleanest villages, featuring living root bridges, dense forest walks, and Khasi tribal culture -- a peaceful, offbeat destination in Meghalaya's hills.","Mawlynnong, forest destination in Meghalaya. Known as one of Asia's cleanest villages, featuring living root bridges, dense forest walks, and Khasi tribal culture -- a peaceful, offbeat destination in Meghalaya's hills. Budget level: low. Crowd level: low."
16,Majuli,Assam,backwaters,low,"October,November,December,January,February,March",low,5,9,1,1,9,4,5,"The world's largest river island on the Brahmaputra, home to centuries-old Vaishnavite monasteries and mask-making traditions -- a culturally rich and little-visited destination.","Majuli, backwaters destination in Assam. The world's largest river island on the Brahmaputra, home to centuries-old Vaishnavite monasteries and mask-making traditions -- a culturally rich and little-visited destination. Budget level: low. Crowd level: low."
17,Araku Valley,Andhra Pradesh,mountains,low,"October,November,December,January,February,March",low,5,9,2,1,6,5,7,"A scenic valley in the Eastern Ghats known for coffee plantations, tribal museums, and the scenic Araku toy train route from Visakhapatnam -- a gentle, accessible nature escape in South India.","Araku Valley, mountains destination in Andhra Pradesh. A scenic valley in the Eastern Ghats known for coffee plantations, tribal museums, and the scenic Araku toy train route from Visakhapatnam -- a gentle, accessible nature escape in South India. Budget level: low. Crowd level: low."
18,Chettinad,Tamil Nadu,city,medium,"November,December,January,February",low,3,3,4,1,10,10,6,"A cluster of villages famous for grand heritage mansions, intricate architecture, and a distinctive, spice-forward regional cuisine -- ideal for food and heritage-focused travelers.","Chettinad, city destination in Tamil Nadu. A cluster of villages famous for grand heritage mansions, intricate architecture, and a distinctive, spice-forward regional cuisine -- ideal for food and heritage-focused travelers. Budget level: medium. Crowd level: low."
19,Udaipur,Rajasthan,city,luxury,"October,November,December,January,February,March",medium,3,6,9,5,9,7,8,"The 'City of Lakes,' known for opulent palaces, lakeside havelis, and romantic boat rides -- a favored luxury and honeymoon destination with strong royal Rajasthani heritage.","Udaipur, city destination in Rajasthan. The 'City of Lakes,' known for opulent palaces, lakeside havelis, and romantic boat rides -- a favored luxury and honeymoon destination with strong royal Rajasthani heritage. Budget level: luxury. Crowd level: medium."
20,Rishikesh,Uttarakhand,mountains,low,"September,October,November,February,March,April",high,8,7,3,2,8,5,6,"A spiritual town on the Ganges known as the yoga capital of the world, offering river rafting, ashrams, and riverside cafes -- popular with both adventure travelers and spiritual seekers.","Rishikesh, mountains destination in Uttarakhand. A spiritual town on the Ganges known as the yoga capital of the world, offering river rafting, ashrams, and riverside cafes -- popular with both adventure travelers and spiritual seekers. Budget level: low. Crowd level: high."
21,Alleppey,Kerala,backwaters,medium,"November,December,January,February,March",medium,3,8,6,2,5,7,8,"Famous for its network of tranquil backwaters navigated by traditional houseboats, offering a slow, scenic experience through palm-lined canals and village life.","Alleppey, backwaters destination in Kerala. Famous for its network of tranquil backwaters navigated by traditional houseboats, offering a slow, scenic experience through palm-lined canals and village life. Budget level: medium. Crowd level: medium."
22,Leh-Ladakh,Ladakh,mountains,medium,"June,July,August,September",medium,10,10,3,1,8,4,3,"A high-altitude cold desert region with dramatic monasteries, mountain passes, and lakes like Pangong -- a bucket-list destination for serious adventure and motorbike travelers.","Leh-Ladakh, mountains destination in Ladakh. A high-altitude cold desert region with dramatic monasteries, mountain passes, and lakes like Pangong -- a bucket-list destination for serious adventure and motorbike travelers. Budget level: medium. Crowd level: medium."
23,Kasol,Himachal Pradesh,mountains,low,"March,April,May,September,October",high,7,8,2,4,4,5,4,"A backpacker hub in the Parvati Valley known for riverside cafes, trekking bases, and a laid-back hippie atmosphere -- popular with younger solo and group travelers.","Kasol, mountains destination in Himachal Pradesh. A backpacker hub in the Parvati Valley known for riverside cafes, trekking bases, and a laid-back hippie atmosphere -- popular with younger solo and group travelers. Budget level: low. Crowd level: high."
24,Pondicherry,Tamil Nadu,beach,medium,"October,November,December,January,February",medium,3,6,6,4,7,8,7,"A former French colony with a distinct European quarter, pastel buildings, seaside promenade, and a calmer beach-town feel blended with strong cafe culture.","Pondicherry, beach destination in Tamil Nadu. A former French colony with a distinct European quarter, pastel buildings, seaside promenade, and a calmer beach-town feel blended with strong cafe culture. Budget level: medium. Crowd level: medium."
25,Nubra Valley,Ladakh,mountains,low,"June,July,August,September",low,8,9,2,1,6,3,4,"A remote high-altitude valley near Leh known for sand dunes, double-humped camels, and monasteries -- offering a stark, otherworldly landscape for adventurous travelers.","Nubra Valley, mountains destination in Ladakh. A remote high-altitude valley near Leh known for sand dunes, double-humped camels, and monasteries -- offering a stark, otherworldly landscape for adventurous travelers. Budget level: low. Crowd level: low."
26,Darjeeling,West Bengal,mountains,medium,"March,April,October,November",high,4,8,5,2,7,6,7,"A colonial-era hill station famous for tea gardens, toy trains, and views of Kanchenjunga -- a classic, well-loved Himalayan getaway with strong heritage character.","Darjeeling, mountains destination in West Bengal. A colonial-era hill station famous for tea gardens, toy trains, and views of Kanchenjunga -- a classic, well-loved Himalayan getaway with strong heritage character. Budget level: medium. Crowd level: high."
27,Kalimpong,West Bengal,mountains,low,"March,April,October,November",low,5,9,3,1,6,5,6,"A quieter alternative to nearby Darjeeling, known for monasteries, orchid nurseries, and mountain views without the tourist crush.","Kalimpong, mountains destination in West Bengal. A quieter alternative to nearby Darjeeling, known for monasteries, orchid nurseries, and mountain views without the tourist crush. Budget level: low. Crowd level: low."
28,Gangtok,Sikkim,mountains,medium,"March,April,May,October,November",medium,6,8,5,2,7,6,7,"Sikkim's capital, blending Buddhist monasteries, mountain viewpoints, and a modern cafe scene -- a comfortable base for exploring the eastern Himalayas.","Gangtok, mountains destination in Sikkim. Sikkim's capital, blending Buddhist monasteries, mountain viewpoints, and a modern cafe scene -- a comfortable base for exploring the eastern Himalayas. Budget level: medium. Crowd level: medium."
29,Yumthang Valley,Sikkim,mountains,low,"April,May,October",low,7,10,2,1,4,3,4,"A remote high-altitude valley in North Sikkim known as the 'Valley of Flowers' for its spring rhododendron blooms, hot springs, and dramatic alpine scenery.","Yumthang Valley, mountains destination in Sikkim. A remote high-altitude valley in North Sikkim known as the 'Valley of Flowers' for its spring rhododendron blooms, hot springs, and dramatic alpine scenery. Budget level: low. Crowd level: low."
30,Nainital,Uttarakhand,mountains,medium,"March,April,May,September,October,November",high,4,8,4,3,4,6,8,"A popular lake-district hill station with boating, colonial architecture, and easy mountain views -- family-friendly and accessible, though crowded in season.","Nainital, mountains destination in Uttarakhand. A popular lake-district hill station with boating, colonial architecture, and easy mountain views -- family-friendly and accessible, though crowded in season. Budget level: medium. Crowd level: high."
31,Auli,Uttarakhand,mountains,medium,"December,January,February,March",medium,8,9,4,1,4,4,5,"A ski destination in the Garhwal Himalayas with sweeping views of Nanda Devi, offering snow sports in winter and meadow trekking in summer with a cable car ropeway.","Auli, mountains destination in Uttarakhand. A ski destination in the Garhwal Himalayas with sweeping views of Nanda Devi, offering snow sports in winter and meadow trekking in summer with a cable car ropeway. Budget level: medium. Crowd level: medium."
32,Valley of Flowers,Uttarakhand,mountains,low,"July,August",low,8,10,1,1,5,2,3,A UNESCO-listed high-altitude national park that bursts into a carpet of alpine flowers each monsoon -- a bucket-list trek for nature and flora enthusiasts.,"Valley of Flowers, mountains destination in Uttarakhand. A UNESCO-listed high-altitude national park that bursts into a carpet of alpine flowers each monsoon -- a bucket-list trek for nature and flora enthusiasts. Budget level: low. Crowd level: low."
33,Wayanad,Kerala,forest,medium,"October,November,December,January,February,March",medium,7,9,4,1,5,6,7,"A misty plateau region in Kerala with spice plantations, wildlife sanctuaries, caves, and waterfalls -- a nature-heavy escape less crowded than Munnar.","Wayanad, forest destination in Kerala. A misty plateau region in Kerala with spice plantations, wildlife sanctuaries, caves, and waterfalls -- a nature-heavy escape less crowded than Munnar. Budget level: medium. Crowd level: medium."
34,Varkala,Kerala,beach,low,"November,December,January,February,March",medium,5,8,4,4,4,7,5,"A cliffside beach town in Kerala known for dramatic red laterite cliffs overlooking the Arabian Sea, yoga retreats, and a relaxed backpacker vibe.","Varkala, beach destination in Kerala. A cliffside beach town in Kerala known for dramatic red laterite cliffs overlooking the Arabian Sea, yoga retreats, and a relaxed backpacker vibe. Budget level: low. Crowd level: medium."
35,Kumarakom,Kerala,backwaters,luxury,"November,December,January,February,March",low,3,8,8,1,4,7,7,"A tranquil backwater village on Vembanad Lake known for luxury houseboat stays, bird sanctuaries, and Ayurvedic wellness retreats.","Kumarakom, backwaters destination in Kerala. A tranquil backwater village on Vembanad Lake known for luxury houseboat stays, bird sanctuaries, and Ayurvedic wellness retreats. Budget level: luxury. Crowd level: low."
36,Hampi,Karnataka,city,low,"October,November,December,January,February",medium,6,6,2,1,10,4,5,"The ruins of the Vijayanagara Empire scattered across a surreal boulder landscape -- a UNESCO World Heritage site blending history, architecture, and unique terrain for explorers.","Hampi, city destination in Karnataka. The ruins of the Vijayanagara Empire scattered across a surreal boulder landscape -- a UNESCO World Heritage site blending history, architecture, and unique terrain for explorers. Budget level: low. Crowd level: medium."
37,Badami,Karnataka,city,low,"October,November,December,January,February",low,5,5,2,1,9,4,5,Known for its rock-cut cave temples and sandstone cliffs surrounding a scenic lake -- a quieter historical counterpart to Hampi.,"Badami, city destination in Karnataka. Known for its rock-cut cave temples and sandstone cliffs surrounding a scenic lake -- a quieter historical counterpart to Hampi. Budget level: low. Crowd level: low."
38,Ooty,Tamil Nadu,mountains,medium,"March,April,September,October,November",high,4,8,5,2,4,6,8,"A well-known Nilgiri hill station with tea estates, botanical gardens, and a toy train -- a classic, family-friendly South Indian summer retreat.","Ooty, mountains destination in Tamil Nadu. A well-known Nilgiri hill station with tea estates, botanical gardens, and a toy train -- a classic, family-friendly South Indian summer retreat. Budget level: medium. Crowd level: high."
39,Kodaikanal,Tamil Nadu,mountains,medium,"March,April,September,October,November",medium,6,9,4,1,4,5,7,"A pine-forested hill station known for its star-shaped lake, misty viewpoints, and cooler, quieter atmosphere compared to Ooty.","Kodaikanal, mountains destination in Tamil Nadu. A pine-forested hill station known for its star-shaped lake, misty viewpoints, and cooler, quieter atmosphere compared to Ooty. Budget level: medium. Crowd level: medium."
40,Amritsar,Punjab,city,low,"October,November,December,January,February,March",high,2,3,4,3,10,10,7,"Home to the Golden Temple and its moving nightly ceremonies, alongside a rich Punjabi food scene -- a deeply spiritual and culinary destination.","Amritsar, city destination in Punjab. Home to the Golden Temple and its moving nightly ceremonies, alongside a rich Punjabi food scene -- a deeply spiritual and culinary destination. Budget level: low. Crowd level: high."
41,Jaisalmer,Rajasthan,desert,medium,"October,November,December,January,February",medium,7,4,6,4,9,7,6,"A golden desert city known for its sandstone fort, camel safaris into the Thar Desert, and dramatic sand dune sunsets.","Jaisalmer, desert destination in Rajasthan. A golden desert city known for its sandstone fort, camel safaris into the Thar Desert, and dramatic sand dune sunsets. Budget level: medium. Crowd level: medium."
42,Pushkar,Rajasthan,desert,low,"October,November,December,January,February",medium,4,4,3,3,9,6,5,"A holy town centered on a sacred lake, known for its temples, ghats, and the famous annual camel fair -- steeped in pilgrimage tradition.","Pushkar, desert destination in Rajasthan. A holy town centered on a sacred lake, known for its temples, ghats, and the famous annual camel fair -- steeped in pilgrimage tradition. Budget level: low. Crowd level: medium."
43,Mount Abu,Rajasthan,mountains,low,"October,November,December,January,February,March",medium,4,7,3,3,7,5,7,"Rajasthan's only hill station, known for the intricately carved Dilwara Jain temples and a cooler climate as a desert-state retreat.","Mount Abu, mountains destination in Rajasthan. Rajasthan's only hill station, known for the intricately carved Dilwara Jain temples and a cooler climate as a desert-state retreat. Budget level: low. Crowd level: medium."
44,Rann of Kutch,Gujarat,desert,medium,"November,December,January,February",medium,6,7,4,2,9,5,5,"A vast white salt desert that transforms during the annual Rann Utsav festival, known for handicrafts, folk music, and surreal moonlit landscapes.","Rann of Kutch, desert destination in Gujarat. A vast white salt desert that transforms during the annual Rann Utsav festival, known for handicrafts, folk music, and surreal moonlit landscapes. Budget level: medium. Crowd level: medium."
45,Gir National Park,Gujarat,forest,medium,"December,January,February,March",medium,8,9,3,1,3,4,5,"The last refuge of the wild Asiatic lion, offering jeep safaris through dry deciduous forest -- a key wildlife destination in western India.","Gir National Park, forest destination in Gujarat. The last refuge of the wild Asiatic lion, offering jeep safaris through dry deciduous forest -- a key wildlife destination in western India. Budget level: medium. Crowd level: medium."
46,Mahabaleshwar,Maharashtra,mountains,medium,"October,November,December,January,February,March",high,4,8,4,2,3,6,8,"A popular Sahyadri hill station known for strawberry farms, viewpoints over deep valleys, and an easy weekend-getaway feel from Mumbai and Pune.","Mahabaleshwar, mountains destination in Maharashtra. A popular Sahyadri hill station known for strawberry farms, viewpoints over deep valleys, and an easy weekend-getaway feel from Mumbai and Pune. Budget level: medium. Crowd level: high."
47,Lonavala,Maharashtra,mountains,low,"July,August,September",high,5,8,4,3,3,6,7,"A monsoon-famous hill town near Mumbai and Pune, known for waterfalls, forts, and lush green valleys during the rainy season.","Lonavala, mountains destination in Maharashtra. A monsoon-famous hill town near Mumbai and Pune, known for waterfalls, forts, and lush green valleys during the rainy season. Budget level: low. Crowd level: high."
48,Alibaug,Maharashtra,beach,medium,"October,November,December,January,February",medium,3,6,6,3,3,7,7,"A coastal getaway near Mumbai with quieter beaches, old forts, and a growing number of boutique weekend homes and resorts.","Alibaug, beach destination in Maharashtra. A coastal getaway near Mumbai with quieter beaches, old forts, and a growing number of boutique weekend homes and resorts. Budget level: medium. Crowd level: medium."
49,Havelock Island,Andaman and Nicobar Islands,beach,luxury,"November,December,January,February,March,April",low,6,9,6,2,2,6,7,"Home to Radhanagar Beach, consistently ranked among Asia's best, along with scuba diving and pristine turquoise waters -- a premier island getaway.","Havelock Island, beach destination in Andaman and Nicobar Islands. Home to Radhanagar Beach, consistently ranked among Asia's best, along with scuba diving and pristine turquoise waters -- a premier island getaway. Budget level: luxury. Crowd level: low."
50,Neil Island,Andaman and Nicobar Islands,beach,medium,"November,December,January,February,March,April",low,5,9,4,1,2,5,7,"A smaller, quieter Andaman island known for laid-back beaches, coral reefs, and a slower pace than the more popular Havelock.","Neil Island, beach destination in Andaman and Nicobar Islands. A smaller, quieter Andaman island known for laid-back beaches, coral reefs, and a slower pace than the more popular Havelock. Budget level: medium. Crowd level: low."
51,Puri,Odisha,beach,low,"October,November,December,January,February",high,3,6,3,2,9,7,7,"A major pilgrimage town anchored by the Jagannath Temple, with a long beachfront and strong spiritual and culinary traditions.","Puri, beach destination in Odisha. A major pilgrimage town anchored by the Jagannath Temple, with a long beachfront and strong spiritual and culinary traditions. Budget level: low. Crowd level: high."
52,Chilika Lake,Odisha,backwaters,low,"November,December,January,February",low,4,8,2,1,4,5,6,"Asia's largest brackish water lagoon, known for Irrawaddy dolphin sightings, migratory birds, and boat trips through a vast wetland ecosystem.","Chilika Lake, backwaters destination in Odisha. Asia's largest brackish water lagoon, known for Irrawaddy dolphin sightings, migratory birds, and boat trips through a vast wetland ecosystem. Budget level: low. Crowd level: low."
53,Shillong,Meghalaya,mountains,medium,"March,April,September,October,November",medium,6,8,4,3,7,6,6,"Known as the 'Scotland of the East,' a hill town with waterfalls, lakes, and a distinct music-and-cafe culture shaped by Khasi heritage.","Shillong, mountains destination in Meghalaya. Known as the 'Scotland of the East,' a hill town with waterfalls, lakes, and a distinct music-and-cafe culture shaped by Khasi heritage. Budget level: medium. Crowd level: medium."
54,Cherrapunji,Meghalaya,forest,low,"October,November,December,March,April",low,7,10,2,1,6,4,5,"One of the wettest places on Earth, famous for living root bridges, deep canyons, and dramatic waterfalls best seen just after monsoon.","Cherrapunji, forest destination in Meghalaya. One of the wettest places on Earth, famous for living root bridges, deep canyons, and dramatic waterfalls best seen just after monsoon. Budget level: low. Crowd level: low."
55,Kaziranga,Assam,forest,medium,"November,December,January,February,March",medium,8,9,4,1,3,4,5,"A UNESCO World Heritage national park and the primary refuge of the one-horned rhinoceros, offering jeep and elephant safaris through grasslands.","Kaziranga, forest destination in Assam. A UNESCO World Heritage national park and the primary refuge of the one-horned rhinoceros, offering jeep and elephant safaris through grasslands. Budget level: medium. Crowd level: medium."
56,Tawang,Arunachal Pradesh,mountains,low,"March,April,May,September,October",low,8,9,2,1,9,4,4,"A remote high-altitude town near the Bhutan and Tibet borders, home to one of the largest Buddhist monasteries in India and dramatic mountain passes.","Tawang, mountains destination in Arunachal Pradesh. A remote high-altitude town near the Bhutan and Tibet borders, home to one of the largest Buddhist monasteries in India and dramatic mountain passes. Budget level: low. Crowd level: low."
57,Dharamshala,Himachal Pradesh,mountains,medium,"March,April,May,September,October,November",medium,6,8,4,2,8,6,6,"Home to the Dalai Lama's residence in exile and a large Tibetan community, blending spirituality, mountain views, and a laid-back cafe culture in McLeod Ganj.","Dharamshala, mountains destination in Himachal Pradesh. Home to the Dalai Lama's residence in exile and a large Tibetan community, blending spirituality, mountain views, and a laid-back cafe culture in McLeod Ganj. Budget level: medium. Crowd level: medium."
58,Dalhousie,Himachal Pradesh,mountains,medium,"March,April,May,September,October",medium,5,8,4,1,5,4,7,"A colonial-era hill station known for pine forests, old churches, and quiet walking trails -- a gentler, less commercial Himachal option.","Dalhousie, mountains destination in Himachal Pradesh. A colonial-era hill station known for pine forests, old churches, and quiet walking trails -- a gentler, less commercial Himachal option. Budget level: medium. Crowd level: medium."
59,Khajuraho,Madhya Pradesh,city,medium,"October,November,December,January,February",medium,2,4,4,1,10,5,6,"Famous for its UNESCO-listed temple complex adorned with intricate medieval sculptures -- a major destination for art, history, and architecture enthusiasts.","Khajuraho, city destination in Madhya Pradesh. Famous for its UNESCO-listed temple complex adorned with intricate medieval sculptures -- a major destination for art, history, and architecture enthusiasts. Budget level: medium. Crowd level: medium."
60,Pachmarhi,Madhya Pradesh,mountains,low,"October,November,December,January,February,March",low,6,9,3,1,4,4,6,"The 'Queen of Satpura,' a lesser-visited hill station with waterfalls, caves, and dense forest -- a peaceful central Indian retreat.","Pachmarhi, mountains destination in Madhya Pradesh. The 'Queen of Satpura,' a lesser-visited hill station with waterfalls, caves, and dense forest -- a peaceful central Indian retreat. Budget level: low. Crowd level: low."
61,Bandhavgarh,Madhya Pradesh,forest,medium,"November,December,January,February,March,April",medium,8,8,4,1,3,4,5,"One of India's top national parks for spotting Bengal tigers, with dense sal forests and ancient fort ruins within the reserve.","Bandhavgarh, forest destination in Madhya Pradesh. One of India's top national parks for spotting Bengal tigers, with dense sal forests and ancient fort ruins within the reserve. Budget level: medium. Crowd level: medium."
62,Bandipur,Karnataka,forest,low,"October,November,December,January,February",medium,7,8,3,1,3,4,6,"A tiger reserve on the Karnataka-Tamil Nadu border offering jeep safaris through dry deciduous forest, easily combined with a Coorg or Ooty trip.","Bandipur, forest destination in Karnataka. A tiger reserve on the Karnataka-Tamil Nadu border offering jeep safaris through dry deciduous forest, easily combined with a Coorg or Ooty trip. Budget level: low. Crowd level: medium."
63,Pangong Lake,Ladakh,mountains,low,"May,June,July,August,September",medium,9,10,2,1,4,3,4,"A high-altitude lake stretching into Tibet, famous for its shifting blue hues and stark mountain backdrop -- a highlight stop on any Ladakh road trip.","Pangong Lake, mountains destination in Ladakh. A high-altitude lake stretching into Tibet, famous for its shifting blue hues and stark mountain backdrop -- a highlight stop on any Ladakh road trip. Budget level: low. Crowd level: medium."
64,Kasauli,Himachal Pradesh,mountains,medium,"March,April,May,September,October,November",low,4,7,4,1,4,5,7,"A small colonial-era cantonment town in the lower Himalayas, known for quiet walks, old churches, and pine forests -- an easy, low-key escape.","Kasauli, mountains destination in Himachal Pradesh. A small colonial-era cantonment town in the lower Himalayas, known for quiet walks, old churches, and pine forests -- an easy, low-key escape. Budget level: medium. Crowd level: low."
65,Kanha National Park,Madhya Pradesh,forest,medium,"November,December,January,February,March,April",medium,7,9,4,1,3,4,6,"A vast, well-preserved tiger reserve said to have inspired Kipling's Jungle Book, known for sal and bamboo forests and strong wildlife sightings.","Kanha National Park, forest destination in Madhya Pradesh. A vast, well-preserved tiger reserve said to have inspired Kipling's Jungle Book, known for sal and bamboo forests and strong wildlife sightings. Budget level: medium. Crowd level: medium."
